PERIODO,COLE_BILINGUE,COLE_DEPTO_UBICACION,COLE_JORNADA,COLE_NATURALEZA,ESTU_GENERO,PUNT_INGLES,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_GLOBAL
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,57.0,54.0,51.0,50.0,56.0,265.0
20172,,BOGOTA,COMPLETA,NO OFICIAL,F,72.0,56.0,63.0,62.0,62.0,308.0
20172,N,BOGOTA,TARDE,NO OFICIAL,F,36.0,38.0,55.0,50.0,52.0,239.0
20181,N,BOGOTA,NOCHE,NO OFICIAL,M,58.0,51.0,47.0,49.0,56.0,257.0
20172,N,BOGOTA,TARDE,OFICIAL,M,60.0,66.0,65.0,61.0,55.0,308.0
20172,,BOGOTA,TARDE,OFICIAL,M,48.0,31.0,36.0,43.0,28.0,178.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,76.0,77.0,69.0,70.0,63.0,351.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,36.0,58.0,55.0,63.0,57.0,283.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,52.0,54.0,56.0,58.0,55.0,277.0
20172,N,BOGOTA,TARDE,OFICIAL,F,67.0,48.0,70.0,63.0,76.0,322.0
20172,,BOGOTA,TARDE,OFICIAL,F,49.0,42.0,27.0,50.0,43.0,206.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,67.0,69.0,76.0,67.0,68.0,349.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,55.0,53.0,45.0,51.0,49.0,250.0
20172,N,BOGOTA,TARDE,OFICIAL,M,59.0,65.0,66.0,55.0,63.0,310.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,67.0,67.0,68.0,60.0,65.0,326.0
20172,,BOGOTA,SABATINA,NO OFICIAL,F,37.0,44.0,40.0,51.0,49.0,227.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,60.0,56.0,62.0,61.0,64.0,303.0
20172,N,BOGOTA,MAÑANA,OFICIAL,F,49.0,50.0,46.0,52.0,52.0,250.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,53.0,60.0,56.0,56.0,61.0,289.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,M,78.0,71.0,74.0,69.0,67.0,354.0
20171,S,BOGOTA,COMPLETA,NO OFICIAL,F,85.0,58.0,64.0,57.0,61.0,310.0
20172,N,BOGOTA,TARDE,OFICIAL,F,43.0,54.0,54.0,50.0,44.0,250.0
20172,N,BOGOTA,MAÑANA,OFICIAL,M,50.0,54.0,55.0,55.0,53.0,270.0
20172,N,BOGOTA,TARDE,OFICIAL,F,55.0,56.0,61.0,55.0,53.0,281.0
20172,N,BOGOTA,TARDE,OFICIAL,M,56.0,62.0,58.0,60.0,63.0,302.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,F,61.0,54.0,54.0,63.0,65.0,296.0
20172,N,BOGOTA,TARDE,OFICIAL,F,44.0,46.0,48.0,54.0,47.0,242.0
20172,N,BOGOTA,COMPLETA,NO OFICIAL,M,47.0,61.0,55.0,54.0,59.0,282.0
20172,,BOGOTA,MAÑANA,OFICIAL,F,43.0,41.0,43.0,44.0,49.0,221.0
